text,category
"URGENT: Critical issue detected, immediate attention required! (sample 1)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 1)",Financial
HR update: Please submit your required employee documents. (sample 1),HR
General update: Here is the information you requested. (sample 1),General
"URGENT: Critical issue detected, immediate attention required! (sample 2)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 2)",Financial
HR update: Please submit your required employee documents. (sample 2),HR
General update: Here is the information you requested. (sample 2),General
"URGENT: Critical issue detected, immediate attention required! (sample 3)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 3)",Financial
HR update: Please submit your required employee documents. (sample 3),HR
General update: Here is the information you requested. (sample 3),General
"URGENT: Critical issue detected, immediate attention required! (sample 4)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 4)",Financial
HR update: Please submit your required employee documents. (sample 4),HR
General update: Here is the information you requested. (sample 4),General
"URGENT: Critical issue detected, immediate attention required! (sample 5)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 5)",Financial
HR update: Please submit your required employee documents. (sample 5),HR
General update: Here is the information you requested. (sample 5),General
"URGENT: Critical issue detected, immediate attention required! (sample 6)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 6)",Financial
HR update: Please submit your required employee documents. (sample 6),HR
General update: Here is the information you requested. (sample 6),General
"URGENT: Critical issue detected, immediate attention required! (sample 7)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 7)",Financial
HR update: Please submit your required employee documents. (sample 7),HR
General update: Here is the information you requested. (sample 7),General
"URGENT: Critical issue detected, immediate attention required! (sample 8)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 8)",Financial
HR update: Please submit your required employee documents. (sample 8),HR
General update: Here is the information you requested. (sample 8),General
"URGENT: Critical issue detected, immediate attention required! (sample 9)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 9)",Financial
HR update: Please submit your required employee documents. (sample 9),HR
General update: Here is the information you requested. (sample 9),General
"URGENT: Critical issue detected, immediate attention required! (sample 10)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 10)",Financial
HR update: Please submit your required employee documents. (sample 10),HR
General update: Here is the information you requested. (sample 10),General
"URGENT: Critical issue detected, immediate attention required! (sample 11)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 11)",Financial
HR update: Please submit your required employee documents. (sample 11),HR
General update: Here is the information you requested. (sample 11),General
"URGENT: Critical issue detected, immediate attention required! (sample 12)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 12)",Financial
HR update: Please submit your required employee documents. (sample 12),HR
General update: Here is the information you requested. (sample 12),General
"URGENT: Critical issue detected, immediate attention required! (sample 13)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 13)",Financial
HR update: Please submit your required employee documents. (sample 13),HR
General update: Here is the information you requested. (sample 13),General
"URGENT: Critical issue detected, immediate attention required! (sample 14)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 14)",Financial
HR update: Please submit your required employee documents. (sample 14),HR
General update: Here is the information you requested. (sample 14),General
"URGENT: Critical issue detected, immediate attention required! (sample 15)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 15)",Financial
HR update: Please submit your required employee documents. (sample 15),HR
General update: Here is the information you requested. (sample 15),General
"URGENT: Critical issue detected, immediate attention required! (sample 16)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 16)",Financial
HR update: Please submit your required employee documents. (sample 16),HR
General update: Here is the information you requested. (sample 16),General
"URGENT: Critical issue detected, immediate attention required! (sample 17)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 17)",Financial
HR update: Please submit your required employee documents. (sample 17),HR
General update: Here is the information you requested. (sample 17),General
"URGENT: Critical issue detected, immediate attention required! (sample 18)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 18)",Financial
HR update: Please submit your required employee documents. (sample 18),HR
General update: Here is the information you requested. (sample 18),General
"URGENT: Critical issue detected, immediate attention required! (sample 19)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 19)",Financial
HR update: Please submit your required employee documents. (sample 19),HR
General update: Here is the information you requested. (sample 19),General
"URGENT: Critical issue detected, immediate attention required! (sample 20)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 20)",Financial
HR update: Please submit your required employee documents. (sample 20),HR
General update: Here is the information you requested. (sample 20),General
"URGENT: Critical issue detected, immediate attention required! (sample 21)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 21)",Financial
HR update: Please submit your required employee documents. (sample 21),HR
General update: Here is the information you requested. (sample 21),General
"URGENT: Critical issue detected, immediate attention required! (sample 22)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 22)",Financial
HR update: Please submit your required employee documents. (sample 22),HR
General update: Here is the information you requested. (sample 22),General
"URGENT: Critical issue detected, immediate attention required! (sample 23)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 23)",Financial
HR update: Please submit your required employee documents. (sample 23),HR
General update: Here is the information you requested. (sample 23),General
"URGENT: Critical issue detected, immediate attention required! (sample 24)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 24)",Financial
HR update: Please submit your required employee documents. (sample 24),HR
General update: Here is the information you requested. (sample 24),General
"URGENT: Critical issue detected, immediate attention required! (sample 25)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 25)",Financial
HR update: Please submit your required employee documents. (sample 25),HR
General update: Here is the information you requested. (sample 25),General
"URGENT: Critical issue detected, immediate attention required! (sample 26)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 26)",Financial
HR update: Please submit your required employee documents. (sample 26),HR
General update: Here is the information you requested. (sample 26),General
"URGENT: Critical issue detected, immediate attention required! (sample 27)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 27)",Financial
HR update: Please submit your required employee documents. (sample 27),HR
General update: Here is the information you requested. (sample 27),General
"URGENT: Critical issue detected, immediate attention required! (sample 28)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 28)",Financial
HR update: Please submit your required employee documents. (sample 28),HR
General update: Here is the information you requested. (sample 28),General
"URGENT: Critical issue detected, immediate attention required! (sample 29)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 29)",Financial
HR update: Please submit your required employee documents. (sample 29),HR
General update: Here is the information you requested. (sample 29),General
"URGENT: Critical issue detected, immediate attention required! (sample 30)",Urgent
"Financial notice: Your payment is pending, please process it soon. (sample 30)",Financial
HR update: Please submit your required employee documents. (sample 30),HR
General update: Here is the information you requested. (sample 30),General
"URGENT: Critical issue detected, immediate attention required! (sample 31)",Urgent
